"organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia","codigo_organismo"
"delpen0000con","Delegado Penitenciario",NA,"Penal","Concordia","Concordia",NA,"del","pen",NA
"delpen0000gay","Delegado Penitenciario",NA,"Penal","Gualeguay","Gualeguay",NA,"del","pen",NA
"delpen0000gch","Delegado Penitenciario",NA,"Penal","Gualeguaychú","Gualeguaychú",NA,"del","pen",NA
"delpen0000pna","Delegado Penitenciario",NA,"Penal","Paraná","Paraná",NA,"del","pen",NA
"delpen0001ur","Delegado Judicial",NA,"Penal","Tala","Rosario del Tala",NA,"del","pen",NA
"delpen0101con","Delegado Judicial",NA,"Penal","Concordia","Concordia",NA,"del","pen",NA
"delpen0102gay","Delegado Judicial",NA,"Penal","Gualeguay","Gualeguay",NA,"del","pen",NA
"delpen0103gch","Delegado Judicial",NA,"Penal","Gualeguaychú","Gualeguaychú",NA,"del","pen",NA
"delpen0104par","Delegado Judicial",NA,"Penal","Nogoyá","Nogoyá",NA,"del","pen",NA
"delpen0105vic","Delegado Judicial",NA,"Penal","Victoria","Victoria",NA,"del","pen",NA
"delpen0201uru","Delegado Judicial",NA,"Penal","Uruguay","Concepción del Uruguay",NA,"del","pen",NA
"delpen0202con","Delegado Penitenciario",NA,"Penal","Concordia","Concordia",NA,"del","pen",NA
"delpen0203gay","Delegado Penitenciario",NA,"Penal","Gualeguay","Gualeguay",NA,"del","pen",NA
"delpen0204gch","Delegado Penitenciario",NA,"Penal","Gualeguaychú","Gualeguaychú",NA,"del","pen",NA
"delpen0205pna","Delegado Penitenciario",NA,"Penal","Paraná","Paraná",NA,"del","pen",NA
"delpen0206vic","Delegado Penitenciario",NA,"Penal","Victoria","Victoria",NA,"del","pen",NA
"eincco0001cha","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Chajarí","Chajarí",NA,"ein","cco",NA
"eincco0002col","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Colón","Colón",NA,"ein","cco",NA
"eincco0003dia","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Diamante","Diamante",NA,"ein","cco",NA
"eincco0004fed","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Federación","Federación",NA,"ein","cco",NA
"eincco0005frl","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Federal","Federal",NA,"ein","cco",NA
"eincco0006fel","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Feliciano","Feliciano",NA,"ein","cco",NA
"eincco0007gay","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Gualeguay","Gualeguay",NA,"ein","cco",NA
"eincco0008gch","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"ein","cco",NA
"eincco0009lpa","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","La Paz","La Paz",NA,"ein","cco",NA
"eincco0010nog","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Nogoyá","Nogoyá",NA,"ein","cco",NA
"eincco0011tal","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Tala","Rosario del Tala",NA,"ein","cco",NA
"eincco0012vic","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Victoria","Victoria",NA,"ein","cco",NA
"eincco0013vil","Equipo Interdisciplinario del Fuero Familia y Menores",NA,"Civil y Comercial","Villaguay","Villaguay",NA,"ein","cco",NA
"einpen0000gch","Equipo Interdisciplinario Jdo Ejec de Penas",NA,"Penal","Gualeguaychú","Gualeguaychú",NA,"ein","pen",NA
"einpen0000pna","Equipo Interdisciplinario Jdo Ejec Penas",NA,"Penal","Paraná","Paraná",NA,"ein","pen",NA
"einpen0100pna","Equipo Interdisciplinario -jdo Penal de Nya-",NA,"Penal","Paraná","Paraná",NA,"ein","pen",NA
"equpen0001cha","Equipo de Probation",NA,"Penal","Chajarí","Chajarí",NA,"equ","pen",NA
"equpen0002col","Equipo de Probation",NA,"Penal","Colón","Colón",NA,"equ","pen",NA
"equpen0004con","Equipo de Probation","probation-concordia@jusentrerios.gov.ar","Penal","Concordia","Concordia",NA,"equ","pen",NA
"equpen0005frl","Equipo de Probation",NA,"Penal","Federal","Federal",NA,"equ","pen",NA
"equpen0006fed","Equipo de Probation",NA,"Penal","Federación","Federación",NA,"equ","pen",NA
"equpen0007fel","Equipo de Probation",NA,"Penal","Feliciano","Feliciano",NA,"equ","pen",NA
"equpen0008gay","Equipo de Probation","probation-gualeguay@jusentrerios.gov.ar","Penal","Gualeguay","Gualeguay",NA,"equ","pen",NA
"equpen0009gch","Equipo de Probation","oficinaprobation-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"equ","pen",NA
"equpen0010lpa","Equipo de Probation","probation-lapaz@jusentrerios.gov.ar","Penal","La Paz","La Paz",NA,"equ","pen",NA
"equpen0011nog","Equipo de Probation","probation-nogoya@jusentrerios.gov.ar","Penal","Nogoyá","Nogoyá",NA,"equ","pen",NA
"equpen0013tal","Equipo de Probation",NA,"Penal","Tala","Rosario del Tala",NA,"equ","pen",NA
"equpen0014vic","Equipo de Probation",NA,"Penal","Victoria","Victoria",NA,"equ","pen",NA
"equpen0015vil","Equipo de Probation",NA,"Penal","Villaguay","Villaguay",NA,"equ","pen",NA
"equpen0016uru","Equipo de Probation","probation-uru@jusentrerios.gov.ar","Penal","Uruguay","Concepción del Uruguay",NA,"equ","pen",NA
"jdocco0000dia","Jdo Civ y Com Lab","jdocyc-dia@jusentrerios.gov.ar","Civil y Comercial","Diamante","Diamante",NA,"jdo","cco|lab","diacyc01"
"jdocco0000fed","Jdo Civ y Com Lab Fam","jdocyc-fcion@jusentrerios.gov.ar","Civil y Comercial","Federación","Federación",NA,"jdo","cco|fam|lab","federacioncyc01"
"jdocco0000frl","Jdo Civ y Com Lab","jdocyc-fral@jusentrerios.gov.ar","Civil y Comercial","Federal","Federal",NA,"jdo","cco|lab","fedcyc01"
"jdocco0000ssa","Jdo Civ y Com Lab Fam","jdocyclab-ssdor@jusentrerios.gov.ar","Civil y Comercial","San Salvador","San Salvador",NA,"jdo","cco|fam|lab","salcyc01"
"jdocco0000tal","Jdo Civ y Com -ccomp.Laboral","jdocyc-tala@jusentrerios.gov.ar","Civil y Comercial","Tala","Rosario del Tala",NA,"jdo","cco|lab","roscyc"
"jdocco0000vic","Jdo Civ y Com -ccomp.Laboral","jdocyc-vic@jusentrerios.gov.ar","Civil y Comercial","Victoria","Victoria",NA,"jdo","cco|lab","viccyc01"
"jdocco0000vpa","Jdo Civ Com y Lab","jdomf-ibic@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Villa Paranacito",NA,"jdo","cco|fam|lab","pcitomultif"
"jdocco0100cha","Jdo Civ y Com 1 -ccomp.Laboral","jdocyc-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",NA,"jdo","cco|lab","chacyc01"
"jdocco0100col","Jdo Civ y Com 1","jdocyc1-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","cco","colcyc01"
"jdocco0100con","Jdo Civ y Com 1","jdocyc1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco","concivil01"
"jdocco0100gay","Jdo Civ y Com 1","jdocycs1-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",NA,"jdo","cco","uaycyc01"
"jdocco0100gch","Jdo Civ y Com 1","jdocyc1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","cco","guaciv01"
"jdocco0100lpa","Jdo Civ y Com 1 -ccomp.Laboral","jdocycs1-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",NA,"jdo","cco|lab","pazcyc01"
"jdocco0100nog","Jdo Civ y Com 1 -ccomp.Laboral","jdocyc-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",NA,"jdo","cco|lab","nogcyc01"
"jdocco0100pna","Jdo Civ y Com 1","jdocyc1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc01"
"jdocco0100uru","Jdo Civ y Com 1","jdocyc1s1-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cco","uruciv01"
"jdocco0100vil","Jdo Civ y Com 1 -ccomp.Laboral","jdocycs1-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",NA,"jdo","cco|lab","vilcyc01"
"jdocco0200cha","Jdo Civ y Com 2 -ccomp.Laboral","Jdocyc2-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",NA,"jdo","cco|lab","chacyc02"
"jdocco0200col","Jdo Civ y Com 2","jdocyc2-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","cco","colcyc02"
"jdocco0200con","Jdo Civ y Com 2","jdocyc2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco","concivil02"
"jdocco0200gay","Jdo Civ y Com 2","jdocycs2-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",NA,"jdo","cco","uaycyc02"
"jdocco0200gch","Jdo Civ y Com 2","jdocyc2-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","cco","guaciv02"
"jdocco0200lpa","Jdo Civ y Com 2 -ccomp.Laboral","jdocycs2-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",NA,"jdo","cco|lab","pazcyc02"
"jdocco0200nog","Jdo Civ y Com 2 -ccomp.Laboral","jdocyc2-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",NA,"jdo","cco|lab","nogcyc02"
"jdocco0200pna","Jdo Civ y Com 2","jdocyc2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc02"
"jdocco0200uru","Jdo Civ y Com 2","jdocyc2s3-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cco","uruciv02"
"jdocco0200vil","Jdo Civ y Com 2 -ccomp.Laboral","jdocycs2-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",NA,"jdo","cco|lab","vilcyc02"
"jdocco0300con","Jdo Civ y Com 3","jdocyc3-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco","concivil03"
"jdocco0300gch","Jdo Civ y Com 3","jdocyc3-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","cco","guaciv03"
"jdocco0300pna","Jdo Civ y Com 3","jdocyc3-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc03"
"jdocco0301uru","Jdo Civ y Com 3-sec.Ejecucion-","jdocyc3-pe@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","eje","uruciv03"
"jdocco0302uru","Jdo Civ y Com 3-sec.CQuiebras-","jdocyc3-cyq@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cqb","uruciv03"
"jdocco0400con","Jdo Civ y Com 4","jdocyc4-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco","concivil04"
"jdocco0400pna","Jdo Civ y Com 4","jdocyc4-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc04"
"jdocco0500pna","Jdo Civ y Com 5","jdocyc5-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc05"
"jdocco0501con","Jdo Civ y Com 5-sec1 CQE-","jdocyc5s1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","eje|cqb","concivil05"
"jdocco0502con","Jdo Civ y Com 5-sec2 CQE-","jdocyc5s2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","eje|cqb",NA
"jdocco0600con","Jdo Civ y Com 6","jdocyc6-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco","concivil06"
"jdocco0600pna","Jdo Civ y Com 6","jdocyc6-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc06"
"jdocco0700pna","Jdo Civ y Com 7","jdocyc7-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc07"
"jdocco0800pna","Jdo Civ y Com 8","jdocyc8-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco","parcyc08"
"jdocco0901pna","Jdo Civ y Com 9 Sec 1","jdocyc9-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cqb","parcyc09"
"jdocco0902pna","Jdo Civ y Com 9 Sec 2","jdocyc9s2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cqb","parcyc09"
"jdocco1001pna","Jdo Civ y Com 10 Sec 1","jdocyc10s1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","eje","parcyc10"
"jdocco1002pna","Jdo Civ y Com 10 Sec 2","matencio@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","eje","parcyc10"
"jdofam0000cha","Jdo Fam Pen Niñ Ado","jdofamilia-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",NA,"jdo","fam|pen","chafam01"
"jdofam0000dia","Jdo Fam Pen Niñ Ado","jdofliamen-dia@jusentrerios.gov.ar","Civil y Comercial","Diamante","Diamante",NA,"jdo","fam|pen","diafam01"
"jdofam0000fel","Jdo Fam y Men","jdofliamen1-fel@jusentrerios.gov.ar","Civil y Comercial","Feliciano","Feliciano",NA,"jdo","fam|pen","famfel02"
"jdofam0000frl","Juzgado de Familia y Menores","jdofamilia-fral@jusentrerios.gov.ar","Civil y Comercial","Federal","Federal",NA,"jdo","fam|pen","fedfis01"
"jdofam0000gay","Jdo Fam","jdofliamen-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",NA,"jdo","fam|pen","uayfam01"
"jdofam0000lpa","Jdo Fam Pen Niñ Ado","jdofliamen1-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",NA,"jdo","fam|pen","pazflia01"
"jdofam0000nog","Jdo Fam y Pen Menores","jdofliamen-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",NA,"jdo","fam|pen","nogflia01"
"jdofam0000tal","Jdo Fam Pen Niñ Ado","jdofliamen-tala@jusentrerios.gov.ar","Civil y Comercial","Tala","Rosario del Tala",NA,"jdo","fam|pen","rosfamilia"
"jdofam0000vic","Jdo Fam Pen Niñ Ado","jdofliapen-vic@jusentrerios.gov.ar","Civil y Comercial","Victoria","Victoria",NA,"jdo","fam|pen","vicfam01"
"jdofam0000vil","Jdo Fam y Menores","jdofliapen-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",NA,"jdo","fam|pen","vilfam01"
"jdofam0001col","Jdo Fam Pen N.A. Sec1","jdofliamens1-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","fam|pen","colfam01"
"jdofam0001gch","Jdo Fam Pen Niñ Ado Sec 1","jdofliamens1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","fam|pen",NA
"jdofam0100uru","Jdo Fam Pen Niñ Ado 1","jdofliamens1-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","fam|pen","urufam01"
"jdofam0200uru","Jdo Fam Pen Niñ Ado 2","jdofliamens2-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","fam|pen","urufam02"
"jdofam0002col","Jdo Fam Pen N.A. Sec2","jdofliamens2-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","fam|pen","colfam01"
"jdofam0002gch","Jdo Fam Pen Niñ Ado Sec 2","jdofliamens2-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","fam|pen",NA
"jdofam0100pna","Jdo Familia 1","jdofamilia1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam","parfam01"
"jdofam0101con","Jdo Fam Pen Niñ Ado 1 -secr 1-","jdofliamen1s1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam",NA
"jdofam0102con","Jdo Fam Pen Niñ Ado 1 -secr 2-",NA,"Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen",NA
"jdofam0200pna","Jdo Familia 2","jdofamilia2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam","parf02flia"
"jdofam0201con","Jdo Fam Pen Niñ Ado 2 -secr 1-","jdofliamen2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam",NA
"jdofam0202con","Jdo Fam Pen Niñ Ado 2 -secr 2 -","jdofliamen1s2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen",NA
"jdofam0300pna","Jdo Familia 3","jdofamilia3-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam","parf02asis"
"jdofam0400pna","Jdo Familia 4","jdofamilia4-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam","parfam04s4"
"jdolab0000gay","Jdo Laboral","jdolaboral-gua@jusentrerios.gov.ar","Laboral","Gualeguay","Gualeguay",NA,"jdo","lab","uaylaboral"
"jdolab0100gch","Jdo Laboral 1","jdolab1-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"jdo","lab","gualab01"
"jdolab0100pna","Jdo Laboral 1","jdolab1-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab","parlab01"
"jdolab0100uru","Jdo Laboral 1","jdolab1-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"jdo","lab","urulab01"
"jdolab0200con","Jdo Laboral 2","jdolab2-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"jdo","lab","conlab02"
"jdolab0200gch","Jdo Laboral 2","jdolab2-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"jdo","lab","gualab02"
"jdolab0200pna","Jdo Laboral 2","jdolab2-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab","parlab02"
"jdolab0200uru","Jdo Laboral 2","jdolab2-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"jdo","lab","urulabo02"
"jdolab0300con","Jdo Laboral 3","jdolab3-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"jdo","lab","conlab03"
"jdolab0300gch","Jdo Laboral 3","jdolab3-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"jdo","lab","gualab03"
"jdolab0300pna","Jdo Laboral 3","jdolab3-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab","parlab03"
"jdolab0300uru","Jdo Laboral 3","jdolab3-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"jdo","lab","urulabo03"
"jdolab0400con","Jdo Laboral 4","jdolab4-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"jdo","lab","conlab04"
"jdolab0400pna","Jdo Laboral 4","jdolab4-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab","parlab04"
"jdopaz0000alc","Jdo Paz Alcaraz","jdopazcat3-alca@jusentrerios.gov.ar","Civil y Comercial","La Paz","Alcaraz",3,"jdo","paz","pazalcapaz3"
"jdopaz0000bas","Jdo Paz Basavilbaso","jdopazcat2-baso@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Basavilbaso",2,"jdo","paz","urubasopaz2"
"jdopaz0000bov","Jdo de Paz Bovril","jdopazcat2-bov@jusentrerios.gov.ar","Civil y Comercial","La Paz","Bovril",2,"jdo","paz","bovpaz"
"jdopaz0000cas","Jdo Paz Caseros","jdopazcat3-cas@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Caseros",3,"jdo","paz","urucaspaz3"
"jdopaz0000cei","Jdo Paz Ceibas","jdopazcat3-cei@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Ceibas",3,"jdo","paz","ibiceipaz3"
"jdopaz0000cer","Jdo Paz Cerrito","jdopazcat2-cer@jusentrerios.gov.ar","Civil y Comercial","Paraná","Cerrito",2,"jdo","paz","parcerpaz2"
"jdopaz0000cha","Jdo Paz Chajarí","jdopazcat1-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",1,"jdo","paz","chapaz01"
"jdopaz0000col","Jdo Paz Colón","jdopazcat1-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",1,"jdo","paz","colpaz01"
"jdopaz0000con","Jdo Paz Concordia","jdopazcat1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",1,"jdo","paz","conpaz01"
"jdopaz0000cre","Jdo Paz Crespo","jdopazcat2-cre@jusentrerios.gov.ar","Civil y Comercial","Paraná","Crespo",2,"jdo","paz","crespaz"
"jdopaz0000dia","Jdo Paz Diamante","jdopazcat1-dia@jusentrerios.gov.ar","Civil y Comercial","Diamante","Diamante",1,"jdo","paz","diapaz01"
"jdopaz0000egr","Jdo Paz Estancia Gde","jdopazcat3-egra@jusentrerios.gov.ar","Civil y Comercial","Concordia","Estancia Grande",3,"jdo","paz","conegrapaz3"
"jdopaz0000fed","Jdo Paz Federación","jdopazcat1-fcion@jusentrerios.gov.ar","Civil y Comercial","Federación","Federación",1,"jdo","paz","federacionpaz01"
"jdopaz0000fel","Jdo Paz Feliciano","jdopazcat1-fel@jusentrerios.gov.ar","Civil y Comercial","Feliciano","Feliciano",1,"jdo","paz","felpaz01"
"jdopaz0000frl","Jdo Paz Federal","jdopazcat1-fral@jusentrerios.gov.ar","Civil y Comercial","Federal","Federal",1,"jdo","paz","fedpaz01"
"jdopaz0000gal","Jdo Paz Galarza","jdopazcat3-ggal@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Galarza",3,"jdo","paz","uayggalpaz3"
"jdopaz0000gay","Jdo Paz Gualeguay","jdopazcat1-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",1,"jdo","paz","uaypaz01"
"jdopaz0000gca","Jdo Paz Gral Campos","jdopazcat2-cam@jusentrerios.gov.ar","Civil y Comercial","San Salvador","General Campos",2,"jdo","paz","concapmpaz2"
"jdopaz0000gch","Jdo Paz Gualeguaychú","jdopazcat1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",1,"jdo","paz","guapaz01"
"jdopaz0000has","Jdo Paz Hasenkamp","jdopazcat2-has@jusentrerios.gov.ar","Civil y Comercial","Paraná","Hasenkamp",2,"jdo","paz","parhazoaz2"
"jdopaz0000her","Jdo Paz Hernandarias","jdopazcat2-her@jusentrerios.gov.ar","Civil y Comercial","Paraná","Hernandarias",2,"jdo","paz","parherpaz2"
"jdopaz0000hez","Jdo Paz Hernandez","jdopazcat3-her@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Hernandez",3,"jdo","paz","nogherpaz2"
"jdopaz0000ibi","Jdo Paz Ibicuy","jdopazcat3-ibi@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Ibicuy",3,"jdo","paz","pcitopaz"
"jdopaz0000lar","Jdo Paz Larroque","jdopazcat2-lar@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Larroque",2,"jdo","paz","gualarpaz2"
"jdopaz0000lgo","Jdo Paz Lucas Gonzalez","jdopazcat3-lgon@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Lucas Gonzalez",3,"jdo","paz","noglgonpaz3"
"jdopaz0000lpa","Jdo Paz La Paz","jdopazcat1-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",1,"jdo","paz","pazpaz01"
"jdopaz0000mac","Jdo Paz Macia","jdopazcat2-mac@jusentrerios.gov.ar","Civil y Comercial","Tala","Macia",2,"jdo","paz","rosmacpaz2"
"jdopaz0000man","Jdo Paz Mansilla","jdopazcat3-man@jusentrerios.gov.ar","Civil y Comercial","Tala","Mansilla",3,"jdo","paz","rosmanpaz3"
"jdopaz0000mgr","Jdo Paz Maria Grande","jdopazcat2-mgra@jusentrerios.gov.ar","Civil y Comercial","Paraná","Maria Grande",2,"jdo","paz","mgdepaz"
